firmware,address,ghidra_name,role,classification,confidence_basis,source_reference,notes
firmware_autopilot868.bin,0x0000cc24,FUN_0000cc24,Reset_Handler,CONFIRMED_ADAFRUIT_CORE,structural match: .data copy loop + .bss zero loop + FPU-enable (SCB->CPACR|=0xF<<20) + SystemInit() call + main() call + infinite trap,ArduinoCore-samd@1.7.11:cores/arduino/cortex_handlers.c:Reset_Handler,Already independently documented in docs/firmware/firmware-layout.md and docs/investigations/reset-handler-clock-init.md before this pass; this pass adds the source-level match.
firmware_autopilot868.bin,0x0000cc10,FUN_0000cc10,Dummy_Handler (shared default/weak exception stub),CONFIRMED_ADAFRUIT_CORE,structural match: bare infinite loop `for(;;){}`; matches the vector table's own weak-alias pattern (all unimplemented exceptions point at one stub),ArduinoCore-samd@1.7.11:cores/arduino/cortex_handlers.c:Dummy_Handler,Vector-table sharing already documented in firmware-layout.md.
firmware_autopilot868.bin,0x0000cca4,FUN_0000cca4,SysTick_Handler,CONFIRMED_ADAFRUIT_CORE,role match: distinct handler in the vector table separate from the default stub; SAMD51 core wraps a weak sysTickHook() then calls the tick-increment default handler,ArduinoCore-samd@1.7.11:cores/arduino/cortex_handlers.c:SysTick_Handler + cores/arduino/delay.c:SysTick_DefaultHandler,Not disassembled byte-for-byte this pass; classification is structural/role-based (LIKELY tier would be more conservative -- kept CONFIRMED only because the vector-table role match is unambiguous).
firmware_autopilot868.bin,0x0000ccd0,FUN_0000ccd0,millis() (tick reader),CONFIRMED_ADAFRUIT_CORE,already independently confirmed as "a firmware-maintained RAM counter incremented by the real SysTick_Handler" (docs/investigations/systick-tick-injection.md); matches delay.c's `_ulTickCount` read exactly (a single volatile load and return),ArduinoCore-samd@1.7.11:cores/arduino/delay.c:millis(),—
firmware_autopilot868.bin,0x0000cd50,FUN_0000cd50,delay(ms),LIKELY_STANDARD_LIBRARY,already independently confirmed as "a real micros()-based countdown register genuinely decrementing" (docs/investigations/reset-handler-clock-init.md); matches the shape of delay.c's micros()-based busy-wait + yield() loop,ArduinoCore-samd@1.7.11:cores/arduino/delay.c:delay(),Not disassembled byte-for-byte this pass -- role/behavior match only.
firmware_autopilot868.bin,0x0000cd90,FUN_0000cd90,main(),CONFIRMED_ADAFRUIT_CORE,call-order match: calls a sequence of ~6 init-style functions then a "setup"-shaped function (FUN_00009464) then a "loop"-shaped function (FUN_000093fc) then one more function -- matches main.cpp's `init(); __libc_init_array(); initVariant(); delay(1); [USB init]; setup(); for(;;){loop();yield();serialEventRun();}` structure,ArduinoCore-samd@1.7.11:cores/arduino/main.cpp:main(),This pass's own new finding (see docs/investigations/standard-library-provenance.md) -- reframes FUN_00009464/FUN_000093fc's relationship.
firmware_autopilot868.bin,0x00009464,FUN_00009464,AutoPilot sketch setup(),CUSTOM_APPLICATION,called from the position main() calls setup() from; contains real device bring-up (startup-reference routine, radio-ID probe, post-probe init) then its OWN internal permanent loop that does not return under normal conditions -- a real but nonstandard "setup() that never returns" pattern; only returns (handing control to loop()) once MC4 clears 0x20000060,application-specific -- no Adafruit/Arduino source match (the never-returning-setup pattern is the application author's own control-flow choice),See docs/investigations/g-command-motor-subsystem-unlock.md and docs/investigations/mc4-transition.md for the full behavioral characterization; this pass adds the setup()/loop() naming.
firmware_autopilot868.bin,0x000093fc,FUN_000093fc,AutoPilot sketch loop(),CUSTOM_APPLICATION,called immediately after FUN_00009464 (setup()) in FUN_0000cd90 (main()); calls the receive/dispatch, phase/ramp, and monitor functions every real iteration once reachable,application-specific,See docs/investigations/g-command-motor-subsystem-unlock.md.
firmware_autopilot868.bin,SERCOM5/SERCOM2 SWRST wait loop (in the driver constructor traced in reset-handler-clock-init.md),—,SERCOM SPI reset,CONFIRMED_ADAFRUIT_CORE,byte-for-byte logical match: `CTRLA.bit.SWRST=1; while(CTRLA.bit.SWRST || SYNCBUSY.bit.SWRST);` -- identical structure and identical bit (SWRST, bit 0) to the vendored source,ArduinoCore-samd@1.7.11:cores/arduino/SERCOM.cpp:SERCOM::resetSPI(),Real polled SVD bits already documented in docs/investigations/reset-handler-clock-init.md; this pass adds the source-level match.
firmware_autopilot868.bin,0x000099c2,FUN_000099c2,SPI single-byte transceive,LIKELY_STANDARD_LIBRARY,role match: writes SPI DATA register then busy-waits a completion flag then reads DATA back -- matches SERCOM::transferDataSPI()'s shape; already described in this project as "the same real SPI transceive helper" across multiple investigations,ArduinoCore-samd@1.7.11:cores/arduino/SERCOM.cpp:SERCOM::transferDataSPI(),Not disassembled to confirm the exact polled bit (RXC vs DRE) this pass -- kept at LIKELY, not CONFIRMED.
