id,pattern,direction,discovery,remote_site,autopilot_parser_site,downstream,current_interpretation,confidence,notes,response_event,observed_autopilot_output,remote_receive_site,response_confidence
BIN_F0,0xF0 <binary payload>,Remote/other -> AutoPilot,AutoPilot parser,—,0x8258/0x8260,"0x5274, 0x5448 paths",Binary motor/control frame,high,Parser has a dedicated 0xF0 path before text dispatch. Exact frame layout pending.,,,,
BIN_E0,0xE0 <binary payload>,Remote/other -> AutoPilot,AutoPilot parser,—,0x8258/0x82c6,"0x5274, 0x5448 paths",Binary motor/control frame,high,"Second dedicated binary path. Likely related to external step/direction/pass-through, but that semantic is not yet proven.",,,,
Y,"Y...,...",? -> AutoPilot,AutoPilot parser,not yet located,0x8368,0x7a00,Unknown parameterized command,medium,Requires the final parsed payload byte to be comma before dispatch to 0x7a00.,,,,
+,+...,? -> AutoPilot,AutoPilot parser,not yet located,0x8386,0x806c,Unknown state/update command,medium,Changes a stored byte and can call 0x806c.,,,,
G,G<digit><digit><seq>|,Remote -> AutoPilot,literal + AutoPilot parser,0xb680 builder -> 0xb59c request loop,0x83b2,0xb258 / state changes,Synchronous request with rolling sequence digit; human meaning of first two digits unresolved,high grammar / medium semantic,Sequence digit cycles 1..9. Remote waits ~199 ms for # and retries up to 5; failure path sends O byte three times.,17 x1,#,0xb59c synchronous wait for #,very high
B0,B0|,Remote -> AutoPilot,literal + parser,~0xdbde,0x83f0/0x83f6,inline state/math,B-family mode/state command,high,Confirmed accepted B0 branch; semantic label still open.,,,,
B1,B1|,Remote -> AutoPilot,literal + parser,~0x8028 sender,0x83f0/0x8452,inline state/math,B-family mode/state command,high,Confirmed accepted B1 branch; remote transmits it repeatedly under one UI/state condition.,,,,
B2,B2|,? -> AutoPilot,parser-only,not yet located,0x83f0/0x84e6,0x5274 then 0x4480,B-family command; parser-only so far,high,Important hidden command: parser explicitly accepts B2 even though no B2 literal has yet been found in the remote image.,,,,
TR0,TR0|,Remote -> AutoPilot,literal + parser,~0xdc1a,0x84fa/0x8500,sets boolean state,TR family = boolean false,high,Parser recognizes TR and maps third char == 1 to true; TR0 therefore selects false. Human meaning still open.,,,,
TR1,TR1|,Remote -> AutoPilot,literal + parser,~0xfb98,0x84fa/0x8500,sets boolean state,TR family = boolean true,high,Confirmed complement of TR0. Do not yet equate TR with Trigger or Traction solely from the letters.,,,,
W0,W0|,? -> AutoPilot,parser,not yet located,0x85d8/0x85dc,0x72ac,W-family subcommand 0,high,Explicit parser branch.,,,,
W1,W1|,Remote -> AutoPilot,literal + parser,0xb79c,0x85d8/0x85ea,0x4630 -> 0x6e4c under state checks,W-family subcommand 1,high,Remote sends W1| twice and waits/retries for #. AutoPilot W1 checks four state bytes plus a 32-bit state value; on success it calls 0x4630 with count=5.,17 x5 conditional,# up to five times,0xb79c synchronous wait for #,high
W_BARE,W|,Remote -> ?,literal,0x591c emits W| in zero branch,visible AP W parser expects a second byte,—,Bare W request,medium,"Protocol mismatch to resolve: the remote definitely emits W|, while this AutoPilot text branch distinguishes W0/W1.",,,,
R0,R0|,Remote -> AutoPilot,substring/literal-pool xref + parser,~0x10008,0x866c/0x86b0,inline state changes,R-family state 0,high,Remote appears to reuse pointer into TR0| to send R0|.,4 x1,@ (single byte),0x10db4 (#/@ branch),high
R1,R1|,? -> AutoPilot,parser-only,not yet located,0x866c/0x8678,inline state changes,R-family state 1,high,Explicit parser branch; not yet found as a standalone remote literal.,4 x2,@ twice,0x10db4 (#/@ branch),high
R2,R2|,Remote -> AutoPilot,literal + parser,~0xc1b4,0x866c/0x86d0,inline state changes,R-family state 2,high,Confirmed parser branch and remote transmission.,,,,
MC0_3,"MC<0-3><a>,<b>,<c>,<d>,|",Remote -> AutoPilot,dynamic builder + parser,0x5a8c,0x86e4,0x7a98,Motor configuration for one channel,high,"Builder appends four decimal fields; parser accepts channel 0..3 and calls 0x7a98. Manual exposes four motor configuration settings, but exact field order/scaling still needs proof.",,,,
MC4,"MC4<a0>,<b0>,<c0>,<d0>,...<a3>,<b3>,<c3>,<d3>,|",Remote -> AutoPilot,dynamic builder + parser,0x5a8c,0x86e4,0x7a98 x4,Motor configuration for all four channels,high,Remote builder loops four motor records when selector is 4; parser calls 0x7a98 for channels 0..3.,,,,
I_DYNAMIC,I<1..4><0-or-1>|,Remote -> AutoPilot,dynamic builder + parser,0xb958,0x872e,per-channel state 0x20001b14 / mode 0x200029d8 -> completion monitor 0x8b5c -> event15,Per-channel asynchronous/query state-machine command,high structure / medium semantic,"Remote builds channel as 1..4 and mode as 0/1, waits/retries, then parses a signed numeric result. Exact numeric meaning and mode semantic unresolved.",15,"<signed-number>,",0xb958 via decimal parser 0xb51c,high
I9,I9|,Remote -> AutoPilot/peer,literal,~0xb874 conditional,I-family parser is parameterized,—,I-family short request,medium,Sent conditionally instead of I1| in one remote routine. Bare I9 lacks the third digit consumed by the visible I parser; may be a query/handshake path.,,,,
I1,I1|,Remote -> AutoPilot/peer,literal,~0xb876 conditional,I-family parser is parameterized,—,I-family short request,medium,Complement to I9 in same remote routine; exact role unresolved.,,,,
LH1_4,LH<1-4>|,? -> AutoPilot,parser helper,not yet found as remote literal,0x877e -> 0x54e0,0x54e0,Limit/home-related family,high,"0x54e0 explicitly accepts second byte H and third digit 1..4, clearing one of four state words. Semantic name is provisional.",,,,
LL1,LL1|,Remote -> AutoPilot,literal + parser + nearby UI strings,~0xdeb2 and repeated ~0xe016,0x877e -> 0x54e0/0x5510,limit state reset/capture logic,First-limit workflow command,high,Strongest semantic match so far: remote UI strings around this command describe setting the first limit; AutoPilot LL1 branch clears limit-related state.,,,,
LL2,LL2|,Remote -> AutoPilot,literal + parser + nearby UI strings,repeated ~0xe116,0x877e -> 0x54e0/0x552a,compares/reorders stored limit positions; sets valid flag,Second-limit workflow command,high,"AutoPilot LL2 branch compares two stored positions, orders them, and sets a validity flag. Strongly tied to completing the limit pair.",,,,
D,D| / D...,? -> AutoPilot,parser-only,not yet located,0x878a,0x799c -> 0x4370 -> 0x97a0,Unknown state/report command,medium,Top-level D branch exists; no remote literal identified yet.,,,,
!,!0| and !1|,Remote -> AutoPilot,literals + parser,~0xc570 / ~0xc63e,0x87b2,sets a flag,Bulk state/config query selector,high transport / medium semantic,Remote c440 chooses !1| or !0|. AutoPilot top-level parser schedules event7 without visibly branching on suffix. AP event7 emits 11 numeric CSV fields; this Remote routine parses exactly 10.,7,11 comma-terminated numeric fields,0xc440; parser calls 0xb51c exactly 10 times,very high structure / unresolved 11-vs-10 compatibility issue
S,S|,? -> AutoPilot,parser-only,0xc440,0x87be,selects status code based on global state,Synchronous state/config query,high,"Remote requires P prefix. AP event6 emits P<value0>, normally; if AP state byte 0x20002524 == 4 it emits P<value0>,<value1>,<bool>,. Remote also contains PN special branch with no AP producer yet found.",6,"P<value0>, or P<value0>,<value1>,<bool>,",0xc440 P parser,very high structure / medium field semantics
&,&|,Remote -> AutoPilot,literal + parser,0xba98,0x888c,event5 -> RAM 0x20003134 initialized by 0x4328,AutoPilot firmware-version query,very high,"Remote sends H| then &|, captures response to RAM 0x200002fc; that buffer is rendered on the firmware-information UI. AP 0x4328 initializes exact response V01R39.",5,V01R39,0xba98 capture; displayed around 0xfa10/0xfadc,very high
H,H|,Remote -> AutoPilot,literal + parser,0x5a14,0x889e,sets global flag + timestamp,State enable / heartbeat-like command,medium-high,H and J toggle the same AutoPilot global flag in opposite directions.,,,,
